server_id,server_ip,server_mac,server_location,server_memory_used,server_temperature,server_os,server_start_time
RGNWR-41410,251.188.232.4,E1-EE-E1-73-DF-9C,London,55,33,FreeBSD,12/03/2021 15:48:13
ZTGZO-13981,67.185.238.251,7D-5B-A2-CC-53-C1,Bangalore,62,22,Windows,05/07/2022 00:09:37
NZNII-35628,73.149.11.74,35-CE-4A-5C-E1-B5,London,27,35,Fedora,04/01/2021 09:53:50
IDZGB-50000,122.56.185.218,9E-93-C3-2B-0F-BA,Auckland,43,83,RHEL,02/02/2021 04:53:45
AQXRP-59964,32.93.132.248,32-D0-32-88-E0-45,Toronto,45,50,Windows,12/31/2021 15:47:18
CWLFU-94119,91.147.65.29,FD-63-58-19-47-7D,Berlin,55,31,Fedora,10/20/2021 03:33:16
CIYST-05905,127.249.9.114,F2-96-9C-41-67-3A,Tokyo,81,22,Fedora,03/27/2022 22:33:54
JZNCG-89678,84.238.40.71,46-A2-47-21-B4-81,Berlin,3,56,RHEL,10/03/2021 09:59:02
HEDPH-23443,119.144.12.52,74-78-90-F9-86-84,New York,73,78,Windows,02/14/2022 02:29:48
JFSNU-96123,31.124.237.59,F3-36-46-44-38-3B,Bangalore,93,58,Fedora,08/16/2022 09:49:22
YOYSJ-24852,235.13.204.40,39-F2-4C-AC-16-8D,Bangalore,38,62,RHEL,06/17/2023 11:26:36
NQKBE-46709,12.111.58.194,D4-1B-8B-C5-F8-02,Berlin,9,31,RHEL,03/08/2023 13:21:11
JLPUU-22859,209.122.179.140,DE-BA-85-74-5A-85,Toronto,34,62,Fedora,03/13/2021 08:39:08
HXQGO-47412,10.117.81.164,9A-0B-83-96-41-B2,New York,27,64,Windows,06/28/2021 13:33:31
CIBUN-12578,251.186.211.82,9A-13-07-04-C9-64,Bangalore,52,65,RHEL,05/02/2023 22:53:59
UISIY-71003,163.5.146.158,2E-3A-BE-44-F8-A3,Tokyo,58,71,Fedora,06/28/2021 19:10:19
YFSOB-08675,7.106.16.185,8A-B4-98-E0-39-20,Auckland,25,32,RHEL,07/17/2022 22:24:57
